date,symbol,side,prob_up
2026-03-03,WDC,long,0.6519511938095093
2026-03-03,PLTR,long,0.6353325247764587
2026-03-03,FDS,long,0.6303377747535706
2026-03-03,IT,long,0.6268524527549744
2026-03-03,HOOD,long,0.6206855773925781
2026-03-03,COIN,long,0.6182731986045837
2026-03-03,ALB,long,0.6115189790725708
2026-03-03,NCLH,long,0.6061598658561707
2026-03-03,LLY,long,0.6056703329086304
2026-03-03,GLW,long,0.6041876673698425
2026-03-03,PSKY,long,0.5979594588279724
2026-03-03,UAL,long,0.596587061882019
2026-03-03,MOH,long,0.5964918732643127
2026-03-03,EPAM,long,0.5962890982627869
2026-03-03,DELL,long,0.5954939126968384
2026-03-03,TER,long,0.5952146649360657
2026-03-03,NFLX,long,0.5948807001113892
2026-03-03,CSGP,long,0.5947533249855042
2026-03-03,PYPL,long,0.5943443179130554
2026-03-03,AES,long,0.593159019947052
2026-03-03,MSI,short,0.37351933121681213
2026-03-03,NSC,short,0.37297046184539795
2026-03-03,BLK,short,0.372373104095459
2026-03-03,KMI,short,0.37213951349258423
2026-03-03,CMS,short,0.37087482213974
2026-03-03,LNT,short,0.36966457962989807
2026-03-03,PNW,short,0.3689628541469574
2026-03-03,HD,short,0.3685096502304077
2026-03-03,AEE,short,0.36822959780693054
2026-03-03,CME,short,0.36586740612983704
2026-03-03,CMCSA,short,0.3639454245567322
2026-03-03,JNJ,short,0.35890069603919983
2026-03-03,FE,short,0.3539450764656067
2026-03-03,TXN,short,0.35314661264419556
2026-03-03,V,short,0.35255590081214905
2026-03-03,CB,short,0.35018134117126465
2026-03-03,CNP,short,0.3452860414981842
2026-03-03,ADI,short,0.3374664783477783
2026-03-03,BMY,short,0.3319571614265442
2026-03-03,SPY,short,0.023896977305412292
