date,rolling_sharpe_net_63d,rolling_sharpe_gross_63d
2024-06-03,,
2024-06-04,,
2024-06-05,,
2024-06-06,,
2024-06-07,,
2024-06-10,,
2024-06-11,,
2024-06-12,,
2024-06-13,,
2024-06-14,,
2024-06-17,,
2024-06-18,,
2024-06-19,,
2024-06-20,,
2024-06-21,,
2024-06-24,,
2024-06-25,,
2024-06-26,,
2024-06-27,,
2024-06-28,,
2024-07-01,,
2024-07-02,,
2024-07-03,,
2024-07-04,,
2024-07-05,,
2024-07-08,,
2024-07-09,,
2024-07-10,,
2024-07-11,,
2024-07-12,,
2024-07-15,-8.422395895624613,-7.360531606635713
2024-07-16,-7.623274310011607,-6.573737768677165
2024-07-17,-6.412086241104514,-5.400006497049819
2024-07-18,-5.681137339649818,-4.680656538136921
2024-07-19,-6.2988556736560275,-5.329161292594305
2024-07-22,-6.907007911120796,-5.979468442948597
2024-07-23,-7.389652424061682,-6.4684770738418615
2024-07-24,-7.806902794303392,-6.88310455046381
2024-07-25,-7.827627249523112,-6.8988442002985595
2024-07-26,-8.171785603656563,-7.239296118465339
2024-07-29,-8.052614349092371,-7.114903188553699
2024-07-30,-7.8301164736271,-6.883444590851504
2024-07-31,-8.200956450924906,-7.255471754277861
2024-08-01,-8.367238034111004,-7.413423202730519
2024-08-02,-7.270714430612202,-6.3378583708921505
2024-08-05,-6.912742676328626,-5.977532210266145
2024-08-06,-6.748900974865688,-5.8067559103652515
2024-08-07,-6.045660711693884,-5.128599395726491
2024-08-08,-5.325265739593769,-4.4326589021901945
2024-08-09,-4.848439256584536,-3.965251137892886
2024-08-12,-4.500863296095758,-3.6175728128505105
2024-08-13,-4.4431113934377935,-3.5434924283855938
2024-08-14,-4.239413926756955,-3.329739288496684
2024-08-15,-4.128913144736934,-3.213166617786287
2024-08-16,-3.9341760474058636,-3.015826425126431
2024-08-19,-4.104955696258639,-3.1830542631340037
2024-08-20,-4.243568582094071,-3.3148050631609607
2024-08-21,-4.296548760952137,-3.3544814292065017
2024-08-22,-4.323474946508004,-3.369801559989437
2024-08-23,-4.006333411618699,-3.0543321723346244
2024-08-26,-3.8725949781937805,-2.9113688543901275
2024-08-27,-3.809287327291065,-2.8418962178771343
2024-08-28,-3.948428877933237,-2.9692053051737632
2024-08-29,-4.354882263414857,-3.344858439158393
2024-08-30,-4.428183677205418,-3.41156943733933
2024-09-02,-4.588604890002517,-3.584764664706051
2024-09-03,-5.002230180561178,-3.999310557838769
2024-09-04,-5.359596355045369,-4.35069343935201
2024-09-05,-5.15771384224158,-4.140270405587751
2024-09-06,-4.471248872466202,-3.473421272017463
2024-09-09,-4.34508174804233,-3.3475996497759555
2024-09-10,-3.60689894503069,-2.6263126079807653
2024-09-11,-3.5650873790852633,-2.581056154664756
2024-09-12,-3.4712755029734863,-2.487076410599054
2024-09-13,-2.901655309961975,-1.910960248554452
2024-09-16,-2.8930633159591084,-1.8896385451137248
2024-09-17,-2.820591829595542,-1.818788982320623
2024-09-18,-2.2424135232601214,-1.252107921556245
2024-09-19,-2.1392051651869783,-1.1489787099566156
2024-09-20,-2.09518131293983,-1.097453159134013
2024-09-23,-2.0028769083524636,-0.9981236724666508
2024-09-24,-1.9327455991828257,-0.9310063993874274
2024-09-25,-1.5470056302725161,-0.5343767713720464
2024-09-26,-1.533912225565494,-0.5254923895796749
2024-09-27,-1.7454317528560863,-0.7270694726666407
2024-09-30,-1.9551292855445994,-0.935808334823773
2024-10-01,-1.8368030437957747,-0.8035595361478431
2024-10-02,-1.8614879367743795,-0.8279239833339985
2024-10-03,-1.499169784069479,-0.4627453522237222
2024-10-04,-0.8363017768109314,0.20999524422964183
2024-10-07,0.012041999750370706,1.1401981345901477
2024-10-08,0.36115063860793895,1.5103730094000538
2024-10-09,0.5159450189526452,1.6758409960269538
2024-10-10,0.6161007042074207,1.7720573271765343
2024-10-11,0.2645138451512293,1.4225519477587196
2024-10-14,0.2625046607772123,1.4223285545286963
2024-10-15,0.3745824927924933,1.5284766103680207
2024-10-16,1.0940600173372155,2.2977707332168955
2024-10-17,2.1553506930143396,3.4425544561841828
2024-10-18,2.6444750576682226,3.9837442942040333
2024-10-21,3.482149963267374,4.857936591867812
2024-10-22,3.9988836021656073,5.354952535350581
2024-10-23,4.450329092675159,5.84646913169505
2024-10-24,4.49856569349546,5.904809447321274
2024-10-25,3.91758321263894,5.291293983494842
2024-10-28,4.303017849232251,5.718874099462852
2024-10-29,4.450737331751771,5.881903515910962
2024-10-30,3.3363656190962407,4.7553132244293295
2024-10-31,2.330412166346897,3.6721366227889276
